,Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
10429,48,48,5,6,43,43,6,Train/6/00006_00004_00019.png
22642,100,99,8,8,92,91,14,Train/14/00014_00000_00022.png
21481,32,30,6,5,27,25,13,Train/13/00013_00034_00001.png
30258,47,43,6,5,42,38,26,Train/26/00026_00009_00018.png
16279,42,42,6,6,37,37,10,Train/10/00010_00041_00019.png
17670,29,27,5,6,24,22,11,Train/11/00011_00021_00000.png
10708,61,63,6,5,56,58,6,Train/6/00006_00013_00028.png
28144,43,39,6,5,38,34,23,Train/23/00023_00015_00004.png
2463,27,26,6,5,22,21,1,Train/1/00001_00063_00003.png
31245,50,48,5,6,45,43,28,Train/28/00028_00014_00015.png
8839,45,46,5,6,40,41,5,Train/5/00005_00013_00019.png
37879,43,44,5,6,38,39,38,Train/38/00038_00062_00020.png
4761,87,89,8,8,80,81,2,Train/2/00002_00065_00021.png
20806,44,49,5,5,39,44,13,Train/13/00013_00011_00016.png
16176,30,30,5,6,25,25,10,Train/10/00010_00038_00006.png
4182,39,39,6,5,34,34,2,Train/2/00002_00046_00012.png
5610,32,32,5,5,27,27,3,Train/3/00003_00019_00000.png
26708,47,46,6,5,42,41,18,Train/18/00018_00038_00008.png
29054,58,57,5,6,53,52,25,Train/25/00025_00019_00014.png
1831,34,34,5,5,29,29,1,Train/1/00001_00042_00001.png
24571,39,41,5,6,33,36,17,Train/17/00017_00004_00001.png
28935,58,52,6,5,52,47,25,Train/25/00025_00015_00015.png
20526,41,39,5,5,36,34,13,Train/13/00013_00002_00006.png
30612,48,46,6,6,43,41,27,Train/27/00027_00001_00012.png
8931,53,54,5,6,48,49,5,Train/5/00005_00016_00021.png
23049,52,60,6,6,47,55,14,Train/14/00014_00014_00009.png
19710,30,32,5,6,25,27,12,Train/12/00012_00045_00000.png
28552,75,69,7,7,69,63,25,Train/25/00025_00002_00022.png
32294,39,38,5,6,34,33,31,Train/31/00031_00007_00014.png
35614,30,32,5,6,25,27,36,Train/36/00036_00007_00005.png
38825,41,43,5,6,36,38,41,Train/41/00041_00003_00006.png
16697,41,42,5,6,36,37,10,Train/10/00010_00055_00017.png
8213,50,50,6,6,45,45,4,Train/4/00004_00058_00023.png
9761,38,40,6,5,33,35,5,Train/5/00005_00044_00011.png
35995,75,81,6,7,69,74,37,Train/37/00037_00006_00026.png
33601,30,36,5,6,24,31,33,Train/33/00033_00017_00001.png
1753,45,46,5,5,40,41,1,Train/1/00001_00039_00013.png
21936,34,31,5,6,29,26,13,Train/13/00013_00049_00006.png
5481,38,38,5,5,33,33,3,Train/3/00003_00014_00021.png
7834,30,31,5,6,25,26,4,Train/4/00004_00046_00004.png
3946,61,61,6,5,56,56,2,Train/2/00002_00038_00016.png
28201,28,27,6,6,23,22,24,Train/24/00024_00000_00001.png
32757,72,73,6,7,66,67,31,Train/31/00031_00022_00027.png
16929,30,32,5,6,24,26,10,Train/10/00010_00063_00009.png
10573,35,36,6,6,30,31,6,Train/6/00006_00009_00013.png
15224,39,39,6,6,34,34,10,Train/10/00010_00006_00014.png
31751,51,46,5,6,46,41,30,Train/30/00030_00004_00011.png
38617,38,38,6,6,33,33,40,Train/40/00040_00008_00008.png
7731,47,47,6,5,42,41,4,Train/4/00004_00042_00021.png
17110,92,81,9,7,84,74,11,Train/11/00011_00002_00010.png
7597,32,33,5,6,27,28,4,Train/4/00004_00038_00007.png
10838,37,37,6,6,32,32,7,Train/7/00007_00004_00008.png
33754,27,28,5,6,22,23,33,Train/33/00033_00022_00005.png
31971,63,65,5,6,57,59,30,Train/30/00030_00011_00021.png
36597,52,52,6,6,47,47,38,Train/38/00038_00019_00028.png
11524,28,29,5,5,23,24,7,Train/7/00007_00027_00004.png
29640,29,27,6,6,24,22,25,Train/25/00025_00039_00000.png
5483,39,40,5,6,34,35,3,Train/3/00003_00014_00023.png
18322,73,69,7,7,67,63,11,Train/11/00011_00042_00022.png
19885,72,76,6,6,65,69,12,Train/12/00012_00050_00025.png
20519,131,118,12,10,120,108,13,Train/13/00013_00001_00029.png
15091,32,31,6,6,26,25,10,Train/10/00010_00002_00001.png
36602,29,29,6,5,24,24,38,Train/38/00038_00020_00003.png
2971,26,27,5,6,21,22,2,Train/2/00002_00006_00001.png
24412,45,48,5,6,40,43,16,Train/16/00016_00012_00022.png
3535,56,57,5,5,51,52,2,Train/2/00002_00024_00025.png
33256,70,70,6,7,63,64,33,Train/33/00033_00005_00016.png
11190,31,31,5,5,26,26,7,Train/7/00007_00016_00000.png
2129,96,96,9,9,88,88,1,Train/1/00001_00051_00029.png
10812,40,40,5,5,35,35,7,Train/7/00007_00003_00012.png
36747,96,106,8,10,88,97,38,Train/38/00038_00024_00028.png
15636,31,28,6,6,26,23,10,Train/10/00010_00020_00006.png
29502,58,58,5,6,53,53,25,Train/25/00025_00034_00012.png
33609,33,42,5,6,28,37,33,Train/33/00033_00017_00009.png
39093,34,34,6,6,29,29,42,Train/42/00042_00004_00004.png
1694,36,36,6,6,31,31,1,Train/1/00001_00037_00014.png
20887,51,46,6,5,46,41,13,Train/13/00013_00014_00007.png
16671,51,50,6,5,46,45,10,Train/10/00010_00054_00021.png
19959,48,42,6,6,43,37,12,Train/12/00012_00053_00009.png
19428,47,48,6,6,42,43,12,Train/12/00012_00035_00018.png
24978,51,52,6,6,46,47,17,Train/17/00017_00017_00018.png
32510,71,62,6,5,64,57,31,Train/31/00031_00014_00020.png
13223,51,50,6,5,46,45,8,Train/8/00008_00035_00023.png
4528,92,96,9,8,84,87,2,Train/2/00002_00057_00028.png
18242,33,28,6,5,28,23,11,Train/11/00011_00040_00002.png
6188,31,31,6,6,26,26,3,Train/3/00003_00038_00008.png
11232,36,37,5,6,31,32,7,Train/7/00007_00017_00012.png
583,68,68,7,7,62,62,1,Train/1/00001_00000_00013.png
14956,65,59,6,5,60,53,9,Train/9/00009_00046_00016.png
10015,48,49,5,6,43,44,5,Train/5/00005_00052_00025.png
32080,51,44,6,5,46,39,31,Train/31/00031_00000_00010.png
15705,45,46,5,5,40,41,10,Train/10/00010_00022_00015.png
30509,106,87,9,8,96,80,26,Train/26/00026_00017_00029.png
7218,54,51,6,5,49,46,4,Train/4/00004_00025_00018.png
24635,31,33,5,6,26,28,17,Train/17/00017_00006_00005.png
5583,33,32,6,5,28,27,3,Train/3/00003_00018_00003.png
22756,58,58,5,6,52,53,14,Train/14/00014_00004_00016.png
9224,36,34,6,6,31,29,5,Train/5/00005_00026_00014.png
7017,73,76,7,6,67,70,4,Train/4/00004_00018_00027.png
35439,37,36,5,5,31,31,36,Train/36/00036_00001_00010.png
6573,46,45,6,5,41,40,4,Train/4/00004_00004_00003.png
18522,56,55,6,5,51,50,12,Train/12/00012_00005_00012.png
31121,55,50,5,6,50,45,28,Train/28/00028_00010_00011.png
8376,31,30,6,6,26,25,4,Train/4/00004_00064_00006.png
7961,34,33,6,5,28,28,4,Train/4/00004_00050_00011.png
21879,68,59,7,5,62,54,13,Train/13/00013_00047_00009.png
14611,29,31,5,6,24,26,9,Train/9/00009_00035_00001.png
6085,63,63,6,5,58,58,3,Train/3/00003_00034_00025.png
12191,36,37,6,6,30,31,8,Train/8/00008_00001_00011.png
352,52,48,6,6,47,43,20,Train/20/00020_00011_00022.png
3763,37,34,6,5,32,29,2,Train/2/00002_00032_00013.png
17565,41,39,5,6,36,34,11,Train/11/00011_00017_00015.png
11766,33,34,6,6,28,29,7,Train/7/00007_00035_00006.png
24434,56,54,6,5,50,49,16,Train/16/00016_00013_00014.png
9079,45,45,5,5,40,40,5,Train/5/00005_00021_00019.png
33470,42,40,6,6,37,35,33,Train/33/00033_00012_00020.png
28532,30,29,6,6,25,24,25,Train/25/00025_00002_00002.png
29218,143,131,13,12,131,120,25,Train/25/00025_00024_00028.png
28249,68,69,7,7,62,63,24,Train/24/00024_00001_00019.png
21369,41,39,5,5,35,33,13,Train/13/00013_00030_00009.png
764,55,63,6,5,49,58,1,Train/1/00001_00006_00014.png
15731,39,37,5,5,34,32,10,Train/10/00010_00023_00011.png
11662,42,43,6,5,37,37,7,Train/7/00007_00031_00022.png
22634,69,68,7,6,63,62,14,Train/14/00014_00000_00014.png
4410,27,26,6,6,22,21,2,Train/2/00002_00054_00000.png
690,40,40,6,5,35,35,1,Train/1/00001_00004_00000.png
33062,28,29,6,6,23,23,32,Train/32/00032_00007_00002.png
34097,41,47,6,5,36,42,34,Train/34/00034_00010_00018.png
38382,47,42,6,5,42,37,40,Train/40/00040_00000_00013.png
23042,39,49,5,5,34,43,14,Train/14/00014_00014_00002.png
11859,35,35,5,5,30,30,7,Train/7/00007_00038_00009.png
23539,44,47,5,6,39,42,15,Train/15/00015_00004_00019.png
22484,40,37,6,6,35,32,13,Train/13/00013_00067_00014.png
35022,38,39,6,6,33,34,35,Train/35/00035_00027_00013.png
4141,28,26,6,5,23,21,2,Train/2/00002_00045_00001.png
20453,77,81,7,7,71,74,12,Train/12/00012_00069_00023.png
29711,52,48,6,5,46,42,25,Train/25/00025_00041_00011.png
22672,96,99,9,9,88,91,14,Train/14/00014_00001_00022.png
675,41,41,6,6,36,36,1,Train/1/00001_00003_00015.png
2663,64,63,6,5,59,58,1,Train/1/00001_00069_00023.png
36371,30,30,5,6,25,25,38,Train/38/00038_00012_00012.png
23531,36,37,6,6,31,32,15,Train/15/00015_00004_00011.png
16103,57,54,6,6,51,49,10,Train/10/00010_00035_00023.png
2331,64,62,5,6,59,57,1,Train/1/00001_00058_00021.png
5820,26,25,6,5,21,20,3,Train/3/00003_00026_00000.png
16302,40,41,6,6,35,36,10,Train/10/00010_00042_00012.png
32242,51,49,5,5,46,44,31,Train/31/00031_00005_00022.png
5176,40,41,5,6,35,36,3,Train/3/00003_00004_00016.png
2298,43,42,5,5,37,37,1,Train/1/00001_00057_00018.png
12099,32,31,6,5,27,26,7,Train/7/00007_00046_00009.png
30978,58,58,6,5,52,53,28,Train/28/00028_00005_00018.png
15590,52,51,6,5,47,46,10,Train/10/00010_00018_00020.png
20445,61,64,6,6,56,59,12,Train/12/00012_00069_00015.png
34764,49,50,5,6,44,45,35,Train/35/00035_00018_00025.png
759,47,56,5,6,42,51,1,Train/1/00001_00006_00009.png
18084,98,94,8,9,90,86,11,Train/11/00011_00034_00024.png
26975,39,38,6,6,34,33,21,Train/21/00021_00000_00005.png
16753,41,39,6,5,36,34,10,Train/10/00010_00057_00013.png
21139,69,76,6,7,63,70,13,Train/13/00013_00022_00019.png
30844,39,35,6,5,34,30,28,Train/28/00028_00001_00004.png
27440,48,46,6,5,43,41,22,Train/22/00022_00004_00020.png
35901,49,50,6,6,44,45,37,Train/37/00037_00003_00022.png
20724,62,86,5,8,57,79,13,Train/13/00013_00008_00024.png
29952,49,46,5,6,43,41,25,Train/25/00025_00049_00012.png
393,31,31,6,6,26,26,0,Train/0/00000_00001_00003.png
22643,109,108,10,10,100,99,14,Train/14/00014_00000_00023.png
7411,28,28,6,6,23,23,4,Train/4/00004_00032_00001.png
8484,41,40,6,5,36,35,5,Train/5/00005_00001_00024.png
11750,41,44,6,6,36,39,7,Train/7/00007_00034_00020.png
33642,33,45,5,6,28,39,33,Train/33/00033_00018_00012.png
23365,56,55,6,6,50,50,14,Train/14/00014_00024_00025.png
12781,27,26,5,6,22,21,8,Train/8/00008_00021_00001.png
26058,43,40,6,6,38,35,18,Train/18/00018_00016_00018.png
14655,50,49,6,6,45,44,9,Train/9/00009_00036_00015.png
20580,27,25,6,5,22,20,13,Train/13/00013_00004_00000.png
5053,36,35,6,5,31,30,3,Train/3/00003_00000_00013.png
17856,54,49,6,6,49,44,11,Train/11/00011_00027_00006.png
37020,27,26,6,5,22,21,38,Train/38/00038_00034_00001.png
23367,60,58,6,5,54,52,14,Train/14/00014_00024_00027.png
34587,68,70,6,7,62,64,35,Train/35/00035_00012_00028.png
26357,57,55,5,6,52,50,18,Train/18/00018_00026_00017.png
35139,32,31,6,6,26,26,35,Train/35/00035_00031_00010.png
10309,48,50,5,6,43,45,6,Train/6/00006_00000_00019.png
16497,56,56,5,5,51,51,10,Train/10/00010_00048_00027.png
34207,43,43,5,5,37,37,35,Train/35/00035_00000_00008.png
15935,30,30,5,5,25,25,10,Train/10/00010_00030_00005.png
14377,31,31,5,6,25,26,9,Train/9/00009_00027_00007.png
13262,32,31,6,5,27,26,8,Train/8/00008_00037_00002.png
27794,68,63,6,5,62,57,23,Train/23/00023_00003_00014.png
27566,86,85,7,8,79,78,22,Train/22/00022_00008_00026.png
36695,33,35,5,6,28,30,38,Train/38/00038_00023_00006.png
2308,62,63,5,6,57,58,1,Train/1/00001_00057_00028.png
6295,120,121,10,11,110,111,3,Train/3/00003_00041_00025.png
4937,33,34,5,6,28,29,2,Train/2/00002_00071_00017.png
36619,56,59,6,6,51,54,38,Train/38/00038_00020_00020.png
38838,53,55,6,6,48,50,41,Train/41/00041_00003_00019.png
37151,37,37,6,6,32,32,38,Train/38/00038_00038_00012.png
27422,30,28,5,6,25,23,22,Train/22/00022_00004_00002.png
32689,51,48,5,5,46,43,31,Train/31/00031_00020_00019.png
37406,62,59,6,5,57,54,38,Train/38/00038_00046_00027.png
11384,44,45,5,5,39,40,7,Train/7/00007_00022_00014.png
883,37,38,5,6,32,33,1,Train/1/00001_00010_00013.png
3897,73,75,7,7,67,69,2,Train/2/00002_00036_00027.png
1717,30,31,5,5,25,26,1,Train/1/00001_00038_00007.png
17311,41,39,5,5,36,34,11,Train/11/00011_00009_00001.png
1699,43,43,5,5,37,37,1,Train/1/00001_00037_00019.png
24044,73,74,6,7,67,68,16,Train/16/00016_00000_00014.png
8185,72,72,7,7,66,66,4,Train/4/00004_00057_00025.png
1244,43,43,6,6,37,37,1,Train/1/00001_00022_00014.png
27288,48,44,5,5,43,39,21,Train/21/00021_00010_00018.png
27247,40,38,6,5,35,33,21,Train/21/00021_00009_00007.png
16097,43,41,5,6,38,36,10,Train/10/00010_00035_00017.png
9013,39,39,6,6,34,34,5,Train/5/00005_00019_00013.png
16130,42,38,6,6,37,32,10,Train/10/00010_00036_00020.png
17638,59,57,5,5,54,52,11,Train/11/00011_00019_00028.png
12141,37,40,5,6,32,35,7,Train/7/00007_00047_00021.png
19459,64,64,5,5,59,59,12,Train/12/00012_00036_00019.png
19464,95,95,9,9,87,87,12,Train/12/00012_00036_00024.png
25174,32,33,5,5,27,28,17,Train/17/00017_00024_00004.png
31708,142,122,12,10,130,112,30,Train/30/00030_00002_00028.png
20134,32,32,6,5,27,27,12,Train/12/00012_00059_00004.png
16262,26,27,6,6,21,21,10,Train/10/00010_00041_00002.png
38106,30,31,6,6,25,26,39,Train/39/00039_00001_00007.png
34218,60,60,6,5,55,55,35,Train/35/00035_00000_00019.png
23333,74,73,7,6,68,67,14,Train/14/00014_00023_00023.png
3294,73,71,7,6,67,65,2,Train/2/00002_00016_00024.png
2124,64,67,6,6,59,61,1,Train/1/00001_00051_00024.png
38936,77,81,7,7,71,74,41,Train/41/00041_00006_00027.png
19791,82,83,8,7,75,76,12,Train/12/00012_00047_00021.png
17989,74,69,6,6,68,63,11,Train/11/00011_00031_00019.png
33257,71,70,7,7,65,64,33,Train/33/00033_00005_00017.png
34309,38,38,6,5,33,33,35,Train/35/00035_00003_00020.png
26823,46,41,5,6,41,36,19,Train/19/00019_00002_00003.png
11919,30,31,5,6,25,26,7,Train/7/00007_00040_00009.png
28219,55,51,6,6,50,46,24,Train/24/00024_00000_00019.png
27444,60,56,5,5,55,51,22,Train/22/00022_00004_00024.png
23544,56,58,5,5,51,52,15,Train/15/00015_00004_00024.png
16252,48,48,5,6,43,43,10,Train/10/00010_00040_00022.png
29601,58,53,5,6,53,48,25,Train/25/00025_00037_00021.png
24117,57,58,5,6,52,53,16,Train/16/00016_00002_00027.png
35668,124,122,10,10,114,112,36,Train/36/00036_00008_00029.png
11216,103,103,9,9,94,94,7,Train/7/00007_00016_00026.png
22434,75,68,6,6,69,62,13,Train/13/00013_00065_00024.png
35104,26,28,5,6,21,23,35,Train/35/00035_00030_00005.png
11742,34,39,5,6,29,34,7,Train/7/00007_00034_00012.png
11633,38,39,5,5,33,34,7,Train/7/00007_00030_00023.png
15429,40,40,6,6,35,35,10,Train/10/00010_00013_00009.png
38422,62,62,6,5,57,56,40,Train/40/00040_00001_00023.png
28624,36,35,5,6,30,29,25,Train/25/00025_00005_00004.png
28016,106,96,9,8,97,88,23,Train/23/00023_00010_00026.png
16798,65,65,6,6,60,60,10,Train/10/00010_00058_00028.png
36070,43,43,6,5,38,38,38,Train/38/00038_00002_00011.png
17655,52,47,6,5,47,42,11,Train/11/00011_00020_00015.png
11026,41,41,5,6,36,36,7,Train/7/00007_00010_00016.png
13103,57,60,5,5,52,55,8,Train/8/00008_00031_00023.png
30818,39,37,5,5,33,32,28,Train/28/00028_00000_00008.png
9741,45,45,6,6,40,40,5,Train/5/00005_00043_00021.png
17996,122,109,10,9,112,100,11,Train/11/00011_00031_00026.png
32385,40,35,6,6,35,30,31,Train/31/00031_00010_00015.png
10299,36,37,6,6,31,32,6,Train/6/00006_00000_00009.png
39172,46,46,5,5,41,41,42,Train/42/00042_00006_00023.png
3001,34,33,5,5,29,28,2,Train/2/00002_00007_00001.png
15160,31,31,5,5,26,26,10,Train/10/00010_00004_00010.png
27012,43,40,6,6,38,35,21,Train/21/00021_00001_00012.png
38747,45,47,6,6,40,41,41,Train/41/00041_00000_00018.png
21416,54,50,6,6,49,45,13,Train/13/00013_00031_00026.png
12286,40,38,6,5,35,33,8,Train/8/00008_00004_00016.png
19590,29,29,6,6,24,24,12,Train/12/00012_00041_00000.png
21480,30,29,5,5,25,24,13,Train/13/00013_00034_00000.png
26973,37,37,6,6,32,32,21,Train/21/00021_00000_00003.png
33936,31,33,5,6,25,28,34,Train/34/00034_00005_00007.png
35598,48,48,6,6,43,43,36,Train/36/00036_00006_00019.png
8184,65,64,6,5,60,59,4,Train/4/00004_00057_00024.png
11833,34,35,5,5,29,30,7,Train/7/00007_00037_00013.png
10388,32,34,5,5,27,29,6,Train/6/00006_00003_00008.png
13019,63,52,5,5,57,47,8,Train/8/00008_00028_00029.png
20612,29,29,6,5,24,24,13,Train/13/00013_00005_00002.png
1067,49,48,6,5,44,43,1,Train/1/00001_00016_00017.png
15486,30,31,6,6,25,26,10,Train/10/00010_00015_00006.png
28889,130,119,12,11,119,109,25,Train/25/00025_00013_00029.png
6631,28,30,5,6,23,24,4,Train/4/00004_00006_00001.png
9341,35,34,6,5,30,29,5,Train/5/00005_00030_00011.png
35824,31,32,5,6,26,27,37,Train/37/00037_00001_00005.png
33054,52,54,6,6,47,49,32,Train/32/00032_00006_00024.png
24409,41,42,5,6,36,37,16,Train/16/00016_00012_00019.png
752,44,50,6,5,39,45,1,Train/1/00001_00006_00002.png
16191,43,45,5,6,38,40,10,Train/10/00010_00038_00021.png
15736,41,42,5,6,36,37,10,Train/10/00010_00023_00016.png
10606,40,41,5,5,35,36,6,Train/6/00006_00010_00016.png
1341,45,45,5,6,39,39,1,Train/1/00001_00025_00021.png
17630,42,40,5,6,37,35,11,Train/11/00011_00019_00020.png
19956,46,42,5,6,41,36,12,Train/12/00012_00053_00006.png
24721,31,33,6,5,26,28,17,Train/17/00017_00009_00001.png
7840,36,35,6,5,31,30,4,Train/4/00004_00046_00010.png
35416,52,51,6,5,47,46,36,Train/36/00036_00000_00017.png
31358,32,43,6,6,27,38,29,Train/29/00029_00000_00008.png
19212,33,34,5,6,28,29,12,Train/12/00012_00028_00012.png
25509,28,28,5,5,23,23,17,Train/17/00017_00035_00009.png
16599,39,39,5,5,34,34,10,Train/10/00010_00052_00009.png
10685,30,31,5,6,24,25,6,Train/6/00006_00013_00005.png
8361,45,44,6,5,40,39,4,Train/4/00004_00063_00021.png
34196,69,65,7,6,63,60,34,Train/34/00034_00013_00027.png
37946,81,83,8,7,74,76,38,Train/38/00038_00064_00027.png
4649,117,124,10,11,107,114,2,Train/2/00002_00061_00029.png
4692,33,32,6,5,28,27,2,Train/2/00002_00063_00012.png
12878,35,35,5,5,30,30,8,Train/8/00008_00024_00008.png
22464,63,59,5,6,58,54,13,Train/13/00013_00066_00024.png
26272,68,61,7,5,62,56,18,Train/18/00018_00023_00022.png
32890,33,31,6,5,28,26,32,Train/32/00032_00001_00010.png
36780,27,28,5,6,22,23,38,Train/38/00038_00026_00001.png
29366,112,109,9,9,103,100,25,Train/25/00025_00029_00026.png
8225,30,31,5,6,25,26,4,Train/4/00004_00059_00005.png
36058,99,128,8,11,91,116,38,Train/38/00038_00001_00029.png
38252,29,30,5,6,24,25,39,Train/39/00039_00006_00003.png
37160,49,49,5,5,44,44,38,Train/38/00038_00038_00021.png
31017,96,85,8,7,88,78,28,Train/28/00028_00006_00027.png
24712,30,33,5,6,25,28,17,Train/17/00017_00008_00022.png
15363,33,31,6,5,28,26,10,Train/10/00010_00011_00003.png
7721,35,35,5,5,29,29,4,Train/4/00004_00042_00011.png
5070,28,28,5,5,23,23,3,Train/3/00003_00001_00000.png
17686,44,41,6,6,39,36,11,Train/11/00011_00021_00016.png
1814,54,54,6,6,49,49,1,Train/1/00001_00041_00014.png
34946,53,55,6,6,48,50,35,Train/35/00035_00024_00027.png
21200,70,60,7,5,64,55,13,Train/13/00013_00024_00020.png
26389,59,53,5,5,53,48,18,Train/18/00018_00027_00019.png
834,57,62,5,5,52,57,1,Train/1/00001_00008_00024.png
954,64,63,6,5,59,58,1,Train/1/00001_00012_00024.png
28227,109,104,9,10,100,95,24,Train/24/00024_00000_00027.png
21616,59,53,6,6,54,48,13,Train/13/00013_00038_00016.png
22802,32,33,6,5,27,28,14,Train/14/00014_00006_00002.png
8141,33,37,5,6,28,32,4,Train/4/00004_00056_00011.png
12928,54,53,5,5,49,48,8,Train/8/00008_00025_00028.png
32119,56,53,5,5,51,47,31,Train/31/00031_00001_00019.png
36776,54,53,6,6,49,48,38,Train/38/00038_00025_00027.png
18085,110,104,9,10,101,95,11,Train/11/00011_00034_00025.png
29638,97,87,8,8,89,80,25,Train/25/00025_00038_00028.png
20777,60,55,6,5,55,49,13,Train/13/00013_00010_00017.png
19763,49,52,5,6,44,47,12,Train/12/00012_00046_00023.png
19770,36,37,6,5,31,32,12,Train/12/00012_00047_00000.png
6970,34,36,6,6,28,30,4,Train/4/00004_00017_00010.png
3147,69,63,6,5,63,58,2,Train/2/00002_00011_00027.png
2196,42,41,6,6,37,35,1,Train/1/00001_00054_00006.png
13790,50,50,6,6,45,45,9,Train/9/00009_00007_00020.png
14382,35,33,5,5,29,28,9,Train/9/00009_00027_00012.png
33772,52,51,5,5,46,46,33,Train/33/00033_00022_00023.png
24273,57,58,5,6,52,53,16,Train/16/00016_00008_00003.png
9857,44,45,6,5,39,39,5,Train/5/00005_00047_00017.png
37838,39,40,6,6,34,35,38,Train/38/00038_00061_00009.png
21275,31,32,5,6,26,27,13,Train/13/00013_00027_00005.png
22259,97,87,9,7,89,80,13,Train/13/00013_00059_00029.png
26106,50,47,6,6,45,42,18,Train/18/00018_00018_00006.png
33620,42,61,5,6,37,55,33,Train/33/00033_00017_00020.png
4293,27,26,6,5,22,21,2,Train/2/00002_00050_00003.png
13968,50,51,5,5,45,46,9,Train/9/00009_00013_00018.png
25561,27,27,5,6,21,22,18,Train/18/00018_00000_00001.png
31322,35,34,5,5,30,29,28,Train/28/00028_00017_00002.png
4191,46,49,6,6,41,44,2,Train/2/00002_00046_00021.png
35258,34,34,6,6,29,28,35,Train/35/00035_00035_00009.png
35374,36,36,6,6,31,31,35,Train/35/00035_00039_00005.png
39191,32,34,5,6,27,29,42,Train/42/00042_00007_00012.png
4391,36,36,5,6,31,31,2,Train/2/00002_00053_00011.png
17970,37,38,5,6,32,33,11,Train/11/00011_00031_00000.png
19326,31,36,5,5,26,31,12,Train/12/00012_00032_00006.png
4302,32,31,6,5,27,26,2,Train/2/00002_00050_00012.png
4819,49,48,6,6,44,43,2,Train/2/00002_00067_00019.png
32568,53,49,6,5,47,44,31,Train/31/00031_00016_00018.png
3686,92,87,8,7,83,80,2,Train/2/00002_00029_00026.png
15015,35,35,5,5,30,30,9,Train/9/00009_00048_00015.png
1044,68,69,7,7,62,63,1,Train/1/00001_00015_00024.png
16899,33,34,6,6,28,29,10,Train/10/00010_00062_00009.png
33685,36,38,5,5,30,32,33,Train/33/00033_00019_00025.png
29091,51,46,5,5,46,41,25,Train/25/00025_00020_00021.png
10272,31,32,5,5,26,26,5,Train/5/00005_00061_00012.png
24915,38,43,6,6,33,38,17,Train/17/00017_00015_00015.png
13621,38,38,5,6,33,33,9,Train/9/00009_00002_00001.png
4793,42,45,6,6,37,40,2,Train/2/00002_00066_00023.png
24364,26,27,5,5,20,21,16,Train/16/00016_00011_00004.png
33614,37,45,5,5,32,40,33,Train/33/00033_00017_00014.png
27031,30,30,5,5,25,25,21,Train/21/00021_00002_00001.png
35786,75,77,6,7,69,71,36,Train/36/00036_00012_00027.png
31174,31,29,5,5,25,23,28,Train/28/00028_00012_00004.png
37141,28,29,5,6,23,24,38,Train/38/00038_00038_00002.png
5119,44,47,5,6,39,42,3,Train/3/00003_00002_00019.png
